id,title,artist,year,medium,dimensions,artist_photo_url,tags,description,image_url
PAM-011,Harmoni Kawung Wayang Nusantara,Kristin Agustina Simanjuntak,2026,Batik Tulis,180 x 35 cm,https://huggingface.co/l0r3ntz/artist-photos/resolve/main/artists/Kristin Agustina Simanjuntak.JPG,Batik Tulis,"Karya batik Harmoni Kawung Wayang Nusantara mengangkat perpaduan motif kawung dan wayang sebagai representasi nilai budaya Nusantara. Motif kawung yang tampak pada latar melambangkan kesucian, keseimbangan, dan kebijaksanaan hidup, sedangkan motif wayang menggambarkan nilai moral, karakter, serta warisan budaya yang kaya makna. Karya ini didominasi warna biru muda, biru tua, hijau toska, dan sentuhan cokelat keemasan yang menciptakan kesan tenang, elegan, dan harmonis. Karya ini merepresentasikan perpaduan tradisi dan estetika budaya Indonesia sebagai bentuk pelestarian nilai budaya melalui media batik tulis.",https://huggingface.co/l0r3ntz/artwork-images/resolve/main/PAM-011.jpg
PAM-012,Merak Hijau (Pavo Muticus),Laila Turrahmah Saragih,2026,Batik Tulis,180 x 35 cm,https://huggingface.co/l0r3ntz/artist-photos/resolve/main/artists/Laila Turrahmah Saragih.JPG,"cat minyak, modern, natura","Memanfaatkan kain vertikal yang dinamis, kain batik tulis ini mengangkat subjek Merak Hijau (Pavo muticus) sebagai simbolitas kemegahan ekosistem Indonesia. Komposisi warna hijau pekat dan aksen emas sengaja ditonjolkan di atas kain biru tua untuk menciptakan kedalaman visual. Pameran ini memosisikan karya tersebut sebagai media refleksi; sebuah pengingat bahwa di balik keindahan estetis batik, ada pesan mendalam tentang tanggung jawab kita dalam menjaga keberlangsungan fauna endemik Nusantara dari ancaman kepunahan.",https://huggingface.co/l0r3ntz/artwork-images/resolve/main/PAM-012.jpg
PAM-013,Karya Lois Lodovikus Tarigan,Lois Lodovikus Tarigan,2026,Cat Minyak,50 x 70 cm,https://huggingface.co/l0r3ntz/artist-photos/resolve/main/artists/Lois Lodovikus Tarigan.JPG,"cat minyak, modern, natura",Karya seni lukis cat minyak oleh Lois Lodovikus Tarigan,https://huggingface.co/l0r3ntz/artwork-images/resolve/main/PAM-013.jpg
PAM-014,Swarna Laras Lembayung,Mafaza Aulyani Hadi,2025,Batik Tulis,180 x 35 cm,https://huggingface.co/l0r3ntz/artist-photos/resolve/main/artists/Mafaza Aulyani Hadi.JPG,"cat minyak, modern, natura","Motif batik pada karya ini mengangkat keindahan batik Jawa yang dipadukan dengan ornamen burung sebagai simbol kebebasan, harapan, dan keanggunan. Pola yang tersusun memanjang menciptakan alur visual yang harmonis dan memberi kesan tenang namun tetap hidup. Perpaduan warna biru tua, emas, dan kuning muda menghadirkan nuansa elegan sekaligus mewah, sehingga setiap detail motif terlihat lebih menonjol. Ornamen tumbuhan dan garis-garis dekoratif pada karya ini menggambarkan keindahan alam yang menyatu dengan budaya tradisional. Melalui karya ini, batik Jawa ditampilkan dengan sentuhan yang lebih modern tanpa menghilangkan ciri khas dan nilai estetikanya.",https://huggingface.co/l0r3ntz/artwork-images/resolve/main/PAM-014.jpg
PAM-015,"Sada Rasa, Dua Roha",Mey Waty Aulia,2026,Batik Tulis,180x35 cm,https://huggingface.co/l0r3ntz/artist-photos/resolve/main/artists/Mey Waty Aulia.JPG,"cat minyak, modern, natura","Karya ini merupakan perpaduan motif Batak Simalungun dan Batak Toba yang melambangkan persatuan budaya, penghormatan terhadap leluhur, dan kekuatan nilai adat. Motif hati Simalungun melambangkan kasih sayang dan ketulusan, sedangkan motif gorga Batak Toba melambangkan kekuatan, perlindungan, dan semangat kehidupan.
Ornamen mata ni ari menjadi simbol sumber kehidupan dan penerangan, sementara motif geometris di bagian bawah melambangkan keseimbangan dan arah kehidupan. Ornamen cicak Simalungun melambangkan ketahanan, perlindungan, dan hubungan manusia dengan alam serta leluhur. Pada bagian tepi, motif anyaman melambangkan ikatan persaudaraan dan kesinambungan adat yang tidak terputus.
Penggunaan warna merah, hitam, putih, dan emas menggambarkan keberanian, kewibawaan, kesucian, serta kemuliaan budaya Batak. Secara keseluruhan, karya ini merepresentasikan harmoni dua identitas budaya Batak yang saling melengkapi dalam bingkai kebhinekaan Indonesia.",https://huggingface.co/l0r3ntz/artwork-images/resolve/main/PAM-015.jpg
PAM-016,The Last Voyage of Hayati,Nurul Fadhillah Sembiring,2026,Digital Painting ,"84,1 x 59,4 cm ",https://huggingface.co/l0r3ntz/artist-photos/resolve/main/artists/Nurul Fadhillah Sembiring.JPG,"cat minyak, modern, natura","Karya The Last Voyage of Hayati terinspirasi dari novel Tenggelamnya Kapal Van der Wijck yang menghadirkan kisah cinta tragis di tengah kuatnya adat, harga diri, dan perbedaan status sosial dalam budaya Minangkabau. Melalui pendekatan visual yang puitis dan dramatis, karya ini menggambarkan pelayaran terakhir Hayati sebagai metafora tentang cinta yang perlahan karam bersama penyesalan dan takdir yang tak dapat dihindari.
Figur Hayati divisualisasikan larut di antara ombak dan serpihan kapal yang tenggelam, seolah menjadi satu dengan lautan yang menyimpan luka, rindu, dan kenangan yang belum sempat tersampaikan. Kehadiran kapal di tengah komposisi menjadi simbol perjalanan hidup yang rapuh membawa harapan, namun pada akhirnya hancur oleh keadaan dan keputusan manusia.
Elemen budaya Minangkabau seperti rumah gadang, suntiang, motif kain tradisional, serta nuansa surau dihadirkan bukan hanya sebagai ornamen visual, tetapi sebagai representasi adat yang membentuk sekaligus membatasi kehidupan para tokohnya. Budaya dalam karya ini tampil indah namun sunyi, menjadi saksi bisu atas cinta yang tidak pernah benar-benar menemukan tempatnya.
Secara keseluruhan, karya ini merepresentasikan bagaimana cinta dapat bertahan dalam ingatan meski tubuh, jarak, dan takdir memisahkan. The Last Voyage of Hayati bukan hanya tentang kehilangan, tetapi juga tentang kenangan yang terus hidup, seperti lautan yang tak pernah berhenti menyimpan cerita.",
PAM-017,Menari Bersama Bayang,Putri Fadillah,2026,Digital Painting,"59,4 x 42 cm",https://huggingface.co/l0r3ntz/artist-photos/resolve/main/artists/Putri Fadillah.JPG,"cat minyak, modern, natura","“Menari Bersama Bayang” menggambarkan hubungan antara manusia dan warisan budaya yang selalu hadir mengikuti kehidupan, layaknya bayangan yang tidak pernah terpisah. Sosok penari bertopeng wayang melambangkan identitas tradisional yang tetap hidup di tengah perkembangan zaman. Siluet wayang dan ornamen batik pada latar memperkuat suasana budaya Nusantara, sementara gerakan penari menunjukkan keanggunan, keteguhan, dan penghormatan terhadap tradisi. Melalui karya ini, tarian tidak hanya menjadi sebuah gerak tubuh, tetapi juga bentuk dialog antara diri, sejarah, dan bayang-bayang budaya yang terus hidup dalam ingatan masyarakat.",
PAM-018,"Hamoraon, Hagabeon, Hasangapon",Rulina Rulianty Sihombing,2026,Batik Tulis ,180 x 35 cm,https://huggingface.co/l0r3ntz/artist-photos/resolve/main/artists/Rulina Rulianty Sihombing.JPG,"cat minyak, modern, natura","Motif batik ini terinspirasi dari ornamen tradisional Batak Toba, yaitu Gorga Batak dan simbol Boras Pati, yang mengandung makna filosofis tentang nilai hidup masyarakat Batak melalui prinsip Hamoraon, Hagabeon, dan Hasangapon (Kekayaan, Keturunan/Umur Panjang, dan Kehormatan). Gorga Batak hadir dalam bentuk sulur dan ritme garis sebagai simbol kehidupan, kekuatan, perlindungan, dan keseimbangan spiritual. Sementara itu, Boras Pati yang diwujudkan dalam bentuk cicak melambangkan kesuburan, keberuntungan, dan harapan akan kelangsungan generasi. Melalui batik tulis, unsur tradisional tersebut dihadirkan kembali dalam karya modern sebagai upaya pelestarian budaya dan reinterpretasi nilai lokal Nusantara. Batik ini tidak hanya menjadi kain bermotif, tetapi juga media visual yang mencerminkan identitas, spiritualitas, dan harapan hidup masyarakat Batak Toba.",https://huggingface.co/l0r3ntz/artwork-images/resolve/main/PAM-018.jpg
PAM-019,Lita’arafu: Saling Mengenal dalam Keberagaman,Syarafina Yusrina,2026,Digital painting ,"59,4 x 42 cm",https://huggingface.co/l0r3ntz/artist-photos/resolve/main/artists/Syarafina Yusrina.JPG,"cat minyak, modern, natura","Deskripsi karya: 
Karya kaligrafi digital yang mengangkat QS. Al-Hujurat ayat 13 tentang keberagaman manusia. Pencipta menempatkan kaligrafi ayat sebagai fokus utama di bagian tengah dengan warna emas, karena pencipta ingin menonjolkan kesan sakral, agung, dan mulia dari firman Allah. Bentuk komposisi yang melingkar melambangkan persatuan dan kesatuan umat manusia meskipun berasal dari latar belakang yang berbeda.

Latar belakang karya 
Pencipta olah dengan perpaduan ornamen Nusantara seperti motif batik, ukiran, serta elemen tanjak Melayu sebagai simbol identitas budaya lokal. Pemilihan warna hangat seperti coklat, merah bata, hijau, dan emas bertujuan menghadirkan suasana religius sekaligus etnik, sehingga tercipta harmonisasi antara nilai keislaman dan kekayaan budaya Indonesia.
Melalui karya ini pencipta ingin menyampaikan makna QS. Al-Hujurat ayat 13 bahwa manusia diciptakan berbangsa-bangsa dan bersuku-suku untuk saling mengenal, bukan untuk saling merendahkan. Kemuliaan manusia di sisi Allah ditentukan oleh ketakwaan, bukan oleh perbedaan ras, suku, maupun budaya. Karena itu, perpaduan kaligrafi Arab dengan ornamen Nusantara pencipta hadirkan sebagai simbol bahwa keberagaman adalah keindahan yang dipersatukan oleh nilai keimanan.",
PAM-020,Pucuk Emas Melayu,Triya Ayu Anggreni,2026,Batik Tulis,160 x 35 cm,https://huggingface.co/l0r3ntz/artist-photos/resolve/main/artists/Triya Ayu Anggreni.JPG,"cat minyak, modern, natura","Karya batik Pucuk Emas Melayu mengangkat motif khas Melayu berupa pucuk rebung yang dipadukan dengan motif flora dan ornamen dekoratif. Motif pucuk rebung melambangkan pertumbuhan, harapan, dan kehidupan yang terus berkembang, sedangkan motif flora menggambarkan keindahan serta kesuburan alam. Karya ini didominasi warna biru gelap sebagai latar yang memberi kesan tegas, cokelat keemasan yang melambangkan kemegahan budaya Melayu, hijau sebagai simbol kehidupan, serta krem yang menciptakan keseimbangan visual. Karya ini merepresentasikan keindahan budaya Melayu sebagai bagian dari kekayaan Nusantara.",https://huggingface.co/l0r3ntz/artwork-images/resolve/main/PAM-020.jpg
PAM-021,Harmoni Sulur Tradisi,Abel Calosa G. Malau,2026,Kayu Jelutung,25 x 42 cm,https://huggingface.co/l0r3ntz/artist-photos/resolve/main/artists/Abel Calosa G. Malau.JPG,"akrilik, kontemporer, abstrak","Karya ukiran kayu berjudul ""Harmoni Sulur Tradisi"" merupakan karya seni kriya yang terinspirasi dari motif flora khas Madura. Bentuk sulur yang melengkung dan saling menyatu melambangkan keharmonisan, pertumbuhan, serta kesinambungan kehidupan dalam budaya tradisional. Ornamen daun dan bunga yang diukir secara dekoratif menghadirkan kesan hidup, dinamis, dan elegan, sekaligus menunjukkan kekayaan estetika ukiran Nusantara. Penggunaan material kayu dengan finishing natural memperkuat karakter alami serta menonjolkan keindahan serat kayu sebagai bagian dari nilai artistik karya. Melalui karya ini, pencipta berupaya menghadirkan perpaduan antara nilai tradisi dan keindahan visual dalam bentuk ukiran dekoratif khas Madura",https://huggingface.co/l0r3ntz/artwork-images/resolve/main/PAM-021.jpg
PAM-022,Sian Bagas Do Adat i,Agus Supriono  Silitonga,2026,Digital Painting,40 x 60 cm,https://huggingface.co/l0r3ntz/artist-photos/resolve/main/artists/Agus Supriono  Silitonga.JPG,"akrilik, kontemporer, abstrak",Karya ini mengandung makna bahwa adat itu terlahir dari jiwa manusia yang kemudian diungkapkan melalui tarian dan cara berpakaian.,
PAM-023,Tondi Ni Hariara,Alviano Pintubatu,2025,Kayu Mahoni,50 x 30 cm,https://huggingface.co/l0r3ntz/artist-photos/resolve/main/artists/Alviano Pintubatu.JPG,"akrilik, kontemporer, abstrak","Tondi ni Hariara merupakan representasi roh penjaga yang lahir dari kesakralan pohon Hariara dalam kosmologi Batak. Wajah singa yang dimodifikasi menjadi lebih garang melambangkan kekuatan spiritual, perlindungan, serta amarah leluhur terhadap kehancuran nilai dan keseimbangan alam. Ornamen gorga yang mengalir di seluruh bidang ukiran menjadi simbol hubungan antara manusia, roh, dan alam semesta. Karya ini tidak hanya menghadirkan rasa takut, tetapi juga menghadirkan kewibawaan sakral sebagai penjaga batas antara dunia nyata dan dunia spiritual",https://huggingface.co/l0r3ntz/artwork-images/resolve/main/PAM-023.jpg
PAM-024,Emerald Reverie,Bella Ariza Dwinanta Tambusai,2026,Digital Painting,60 x 40 cm,https://huggingface.co/l0r3ntz/artist-photos/resolve/main/artists/Bella Ariza Dwinanta Tambusai.JPG,"akrilik, kontemporer, abstrak","“Emerald Reverie” merupakan karya seni digital yang terinspirasi dari keanggunan perempuan Melayu serta keindahan budaya Nusantara. Sosok perempuan digambarkan dengan ekspresi tenang dan lembut, dikelilingi elemen khas Melayu seperti wau bulan, bunga raya, motif tradisional, dan cahaya lentera yang menghadirkan suasana hangat serta penuh nostalgia.
Perpaduan warna hijau zamrud dan emas dipilih untuk menciptakan kesan teduh, elegan, dan berkelas. Melalui pendekatan digital painting modern, karya ini mencoba memadukan unsur tradisional dengan visual kontemporer tanpa menghilangkan identitas budayanya.
Bagi saya, “Emerald Reverie” bukan hanya tentang keindahan visual, tetapi juga tentang bagaimana budaya tetap hidup dan relevan di tengah perkembangan zaman. Karya ini menjadi bentuk penghormatan terhadap warisan Melayu yang terus dijaga dan dikenang dari generasi ke generasi.",
PAM-025,Swarnadwipa Cendrawasih,Dedek Retno Reviola Rukmana,2026,Batik tulis ,100 x 100 cm,https://huggingface.co/l0r3ntz/artist-photos/resolve/main/artists/Dedek Retno Reviola Rukmana.JPG,"akrilik, kontemporer, abstrak","""Swarnadwipa Cendrawasih"" memiliki makna yang megah, klasik, dan artistik. Dalam bahasa Sanskerta, Swarnadwipa berarti “Pulau Emas”, yang menggambarkan kekayaan dan keindahan Nusantara. Makna tersebut diwujudkan melalui penggunaan warna emas pada karya batik ini yang menjadi pusat perhatian dan memberikan kesan hangat serta bercahaya.
Burung cendrawasih dipilih sebagai simbol keindahan, keanggunan, dan eksotisme Indonesia Timur, khususnya Papua. Kehadirannya merepresentasikan pesona alam dan budaya Nusantara yang kaya akan keberagaman. Selain itu, karya ini juga dipadukan dengan motif parang, kawung, dan berbagai motif geometris sebagai unsur pendukung yang melambangkan persatuan dan keharmonisan budaya Indonesia.
Melalui perpaduan warna, motif, dan bentuk, karya batik ""Swarnadwipa Cendrawasih""menghadirkan kesan hangat, anggun, dan mencerminkan kemegahan budaya Nusantara.",
PAM-026,Karya Dita Audina,Dita Audina,2026,Akrilik,60 x 80 cm,https://huggingface.co/l0r3ntz/artist-photos/resolve/main/artists/Dita Audina.JPG,"akrilik, kontemporer, abstrak",Karya seni lukis akrilik oleh Dita Audina,
PAM-027,RITUAL,Eydika Novelihardo Sipayung,2026,MDF Print,40 x 60CM,https://huggingface.co/l0r3ntz/artist-photos/resolve/main/artists/Eydika Novelihardo Sipayung.JPG,"akrilik, kontemporer, abstrak","Karya ini adalah bentuk penghormatan terhadap Tarian Toping-Toping Huda-Huda, sebuah ritual penghibur kedukaan dalam tradisi Batak Simalungun.
Lewat teknik cukil hitam-putih ini, saya ingin merekam atmosfer sakral sekaligus dinamis dari tarian tersebut. Kontras tajam yang sengaja saya buat di sini berfungsi sebagai pencahayaan dramatis, yang menerangi gerak penari dan megahnya arsitektur rumah adat di latar belakang.
Setiap guratan dan detail motif pakaian dalam karya ini saya kerjakan dengan sabar untuk menghidupkan suasananya. Melalui karya ini, saya ingin berbagi cerita tentang bagaimana sebuah tradisi bisa merangkul kesedihan dan merayakan kehidupan lewat seni. Semoga teman-teman bisa merasakan energinya!",
PAM-028,Manghioui ,Fathia Syahidah Damanik,2026,Ilustrasi Digital,60 x 40 cm,https://huggingface.co/l0r3ntz/artist-photos/resolve/main/artists/Fathia Syahidah Damanik.JPG,"akrilik, kontemporer, abstrak","Gambar ilustrasi digital ini menyoroti kehangatan momen sakral Manghioui, dimana sepasang pengantin diberikan dan disandangkan hiou sebagai bentuk doa, harapan, kasih sayang orang tua, perlindungan dan restu atas pernikahan. 
Mempelai pria mengenakan gotong: penutup kepala khas pria Simalungun berbentuk tinggi mengerucut berwarna coklat. Berpakaian kemeja formal serta ber selempang hiou. Mempelai wanita tampil anggun mengenakan bulang: penutup kepala khas wanita Simalungun. Berpakaian kebaya merah serta ber selempang kain hiou. Keduanya dilatarbelakangi rumah bolon Simalungun dengan atap jerami berpadukan dengan ornamen pinar.",
PAM-030,Anyaman Doa Ibu Pertiwi,Iureka Putri Manurung,2026,Ilustrasi Digital, 40 x 60 cm,https://huggingface.co/l0r3ntz/artist-photos/resolve/main/artists/Iureka Putri Manurung.JPG,"akrilik, kontemporer, abstrak","Di bawah teduh daun dan tanah yang masih basah oleh alam, para perempuan merajut janur dengan tangan yang diwarisi tradisi. Setiap lipatan bukan sekadar hiasan, melainkan doa yang dianyam bersama. Karya ini berbicara tentang Nusantara yang hidup dari kebersamaan, tentang perempuan sebagai penjaga adat, dan tentang sederhana yang tetap sakral. Sebab budaya bukan hanya untuk dikenang, tetapi dirawat dalam tangan yang terus bekerja dengan hati.",
